bbox_enlarge_factor	learning_rate	std	mean_average_iou
1.0	0.0	1.0	0.1613238920683949
1.0	0.0	2.0	0.15999155786700076
1.0	0.0	3.0	0.16446975780909825
1.0	0.0	5.0	0.17225394360220034
1.0	0.0	10.0	0.18506418379126058
1.0	0.01	1.0	0.2190584486040393
1.0	0.01	2.0	0.2180750786073964
1.0	0.01	3.0	0.20113781703659056
1.0	0.01	5.0	0.21718813130505785
1.0	0.01	10.0	0.20330612924869804
1.0	0.05	1.0	0.2422177430583566
1.0	0.05	2.0	0.24411244066598214
1.0	0.05	3.0	0.26403250276932655
1.0	0.05	5.0	0.23982706445497542
1.0	0.05	10.0	0.20401414761116754
1.0	0.1	1.0	0.2642922850192927
1.0	0.1	2.0	0.2693144006150053
1.0	0.1	3.0	0.2639526103573785
1.0	0.1	5.0	0.2370448273928642
1.0	0.1	10.0	0.20189619848189821
1.0	0.2	1.0	0.27072033667953055
1.0	0.2	2.0	0.2825040795355614
1.0	0.2	3.0	0.27319790052580123
1.0	0.2	5.0	0.23600087981089404
1.0	0.2	10.0	0.2203268196227894
1.0	0.5	1.0	0.2592998609356131
1.0	0.5	2.0	0.2863440754716637
1.0	0.5	3.0	0.28047870693837723
1.0	0.5	5.0	0.25263254780698746
1.0	0.5	10.0	0.20239457711240708
1.0	1.0	1.0	0.22142403744786165
1.0	1.0	2.0	0.22411519396739546
1.0	1.0	3.0	0.23357055383360403
1.0	1.0	5.0	0.22034998889677368
1.0	1.0	10.0	0.1755598614601367
1.5	0.0	1.0	0.1250312897290631
1.5	0.0	2.0	0.16829007533491308
1.5	0.0	3.0	0.18107328265628492
1.5	0.0	5.0	0.17337256400356663
1.5	0.0	10.0	0.1905789355592356
1.5	0.01	1.0	0.24246881587718366
1.5	0.01	2.0	0.2992368384576574
1.5	0.01	3.0	0.24246062093541462
1.5	0.01	5.0	0.2504870223539563
1.5	0.01	10.0	0.2140803954660102
1.5	0.05	1.0	0.29029853554594504
1.5	0.05	2.0	0.33414145469838885
1.5	0.05	3.0	0.31193606111676614
1.5	0.05	5.0	0.2721692379861588
1.5	0.05	10.0	0.22165413033000034
1.5	0.1	1.0	0.31027555264967777
1.5	0.1	2.0	0.3301102710154502
1.5	0.1	3.0	0.3242834259170476
1.5	0.1	5.0	0.29604607420330126
1.5	0.1	10.0	0.22130459729294133
1.5	0.2	1.0	0.31401299620016493
1.5	0.2	2.0	0.34511675818492904
1.5	0.2	3.0	0.31187103234368824
1.5	0.2	5.0	0.3080788999130348
1.5	0.2	10.0	0.22759236148227052
1.5	0.5	1.0	0.29757504846183996
1.5	0.5	2.0	0.2930123132184215
1.5	0.5	3.0	0.32707379157574323
1.5	0.5	5.0	0.2685406542139141
1.5	0.5	10.0	0.23213010140438714
1.5	1.0	1.0	0.25226861911169807
1.5	1.0	2.0	0.23803363690689353
1.5	1.0	3.0	0.24753024011621202
1.5	1.0	5.0	0.23431738329887783
1.5	1.0	10.0	0.23680981451892197
2.0	0.0	1.0	0.16026912681108282
2.0	0.0	2.0	0.19393580806110766
2.0	0.0	3.0	0.2018363761472091
2.0	0.0	5.0	0.19355571000329874
2.0	0.0	10.0	0.23527261307391412
2.0	0.01	1.0	0.2934689412547383
2.0	0.01	2.0	0.3219828967964006
2.0	0.01	3.0	0.3265264894755969
2.0	0.01	5.0	0.3416628265227717
2.0	0.01	10.0	0.23829597339903377
2.0	0.05	1.0	0.3224034301645928
2.0	0.05	2.0	0.38489911420194445
2.0	0.05	3.0	0.376712985067346
2.0	0.05	5.0	0.3362432173861285
2.0	0.05	10.0	0.2631597914023124
